frames_to_process,split_no,flops,total_processing_time,single_frame_time,left_output_size,avg_consec_inference_gap,total_left_model_time,total_right_model_time,Model
10,34,0.0152,25.297048,2.5297048,602112,2.441332778,1.019068,0,DenseNet169
10,34,0.0152,25.308144,2.5308144,602112,0.8447238889,1.024576,0,DenseNet169
10,41,0.0191,27.037765,2.7037765,702464,1.394586333,1.253002,10.765677,DenseNet169
10,41,0.0191,27.044432,2.7044432,702464,0.3993568889,1.173524,0,DenseNet169
10,48,0.0232,29.150464,2.9150464,802816,2.369637667,1.245598,10.298505,DenseNet169
10,48,0.0232,29.152045,2.9152045,802816,2.280350556,1.206391,0,DenseNet169
10,49,0.0232,29.015904,2.9015904,802816,2.764759222,1.386584,10.168358,DenseNet169
10,49,0.0232,29.016016,2.9016016,802816,2.764856333,1.432818,0,DenseNet169
10,50,0.0232,20.722656,2.0722656,802816,1.958041111,1.245862,10.191971,DenseNet169
10,50,0.0232,20.722042,2.0722042,802816,1.958150333,1.262856,0,DenseNet169
10,51,0.0252,20.097038,2.0097038,401408,1.893889444,1.241372,0,DenseNet169
10,51,0.0252,20.097147,2.0097147,401408,1.894000444,1.291379,10.155218,DenseNet169
10,52,0.0252,13.297362,1.3297362,100352,1.182165444,1.395613,9.782922,DenseNet169
10,52,0.0252,13.29136,1.329136,100352,1.182292,1.427736,0,DenseNet169
10,59,0.0261,13.7271,1.37271,125440,1.227902222,1.435945,9.80268,DenseNet169
10,59,0.0261,13.726116,1.3726116,125440,1.227960444,1.379092,0,DenseNet169
10,66,0.027,15.09966,1.509966,150528,1.372028222,1.402181,0,DenseNet169
10,66,0.027,15.100648,1.5100648,150528,1.372163667,1.451143,9.706056,DenseNet169
10,73,0.0279,15.198209,1.5198209,175616,1.361323778,1.534509,0,DenseNet169
10,73,0.0279,15.19462,1.519462,175616,1.361428,1.56493,10.293289,DenseNet169
10,80,0.0289,15.092429,1.5092429,200704,1.354122,1.559323,0,DenseNet169
10,80,0.0289,15.093012,1.5093012,200704,1.354255667,1.585961,9.826311,DenseNet169
10,87,0.03,16.746535,1.6746535,225792,1.502592778,1.712181,9.320465,DenseNet169
10,87,0.03,16.745374,1.6745374,225792,1.502695111,1.733317,0,DenseNet169
10,94,0.0312,17.081807,1.7081807,250880,1.518954667,1.824015,9.86408,DenseNet169
10,94,0.0312,17.083369,1.7083369,250880,1.519139333,1.831592,0,DenseNet169
10,101,0.0324,17.24297,1.724297,275968,1.521726444,2.023282,0,DenseNet169
10,101,0.0324,17.242155,1.7242155,275968,1.521851778,2.02441,9.065679,DenseNet169
10,108,0.0337,17.663894,1.7663894,301056,1.555757778,2.088276,9.289182,DenseNet169
10,108,0.0337,17.663517,1.7663517,301056,1.555892778,2.094515,0,DenseNet169
10,115,0.0351,18.314585,1.8314585,326144,1.628309889,2.124709,9.123346,DenseNet169
10,115,0.0351,18.29698,1.829698,326144,1.628468,2.131779,0,DenseNet169
10,122,0.0365,19.214535,1.9214535,351232,1.690130444,2.095741,0,DenseNet169
10,122,0.0365,19.215569,1.9215569,351232,1.690266,2.100278,8.624512,DenseNet169
10,129,0.0379,19.681199,1.9681199,376320,1.761545444,2.193546,0,DenseNet169
10,129,0.0379,19.68369,1.968369,376320,1.761695222,2.216273,8.529724,DenseNet169
10,136,0.0395,20.224176,2.0224176,401408,1.758388,2.315387,0,DenseNet169
10,136,0.0395,20.223982,2.0223982,401408,1.758568222,2.326802,8.365853,DenseNet169
10,137,0.0395,21.176793,2.1176793,401408,1.758231889,2.851271,8.323605,DenseNet169
10,137,0.0395,21.158282,2.1158282,401408,1.758343111,2.83269,0,DenseNet169
10,138,0.0395,13.474796,1.3474796,401408,1.119731556,2.306569,0,DenseNet169
10,138,0.0395,13.475606,1.3475606,401408,1.119699556,2.301004,8.215824,DenseNet169
